director,name
中岛哲也,被嫌弃的松子的一生 嫌われ松子の一生
朗·霍华德,美丽心灵 A Beautiful Mind
詹姆斯·麦克特格,V字仇杀队 V for Vendetta
娜丁·拉巴基,何以为家 كفرناحوم
李安,饮食男女 飲食男女
彼得·杰克逊,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring
弗朗西斯·福特·科波拉,教父2 The Godfather: Part Ⅱ
"罗杰·阿勒斯, / ,罗伯·明可夫",狮子王 The Lion King
宫崎骏,哈尔的移动城堡 ハウルの動く城
彼得·杰克逊,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers
刘镇伟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒
朱塞佩·托纳多雷,天堂电影院 Nuovo Cinema Paradiso
"李·昂克里奇, / ,阿德里安·莫利纳",寻梦环游记 Coco
西德尼·吕美特,十二怒汉 12 Angry Men
宫崎骏,天空之城 天空の城ラピュタ
"彼特·道格特, / ,鲍勃·彼德森",飞屋环游记 Up
姜文,鬼子来了
涅提·蒂瓦里,摔跤吧！爸爸 Dangal
彼得·杰克逊,指环王3：王者无敌 The Lord of the Rings: The Return of the King
比利·怀德,控方证人 Witness for the Prosecution
张艺谋,活着
李安,少年派的奇幻漂流 Life of Pi
"维克多·弗莱明, / ,乔治·库克, / ,山姆·伍德",乱世佳人 Gone with the Wind
安德鲁·斯坦顿,机器人总动员 WALL·E
拉斯·霍尔斯道姆,忠犬八公的故事 Hachi: A Dog's Tale
克里斯托弗·诺兰,蝙蝠侠：黑暗骑士 The Dark Knight
